x,actual_count,actual_proportion,"Poisson 
PMF P(X=x|_)","Poisson 
Expected","NBD 
PMF P(X=x|r,_)","NBD 
Expected",Poisson LL,NBD LL
1,5369,0.420,,,,,,
2,2213,0.173,,,,,,
3,1186,0.093,,,,,,
4,803,0.063,,,,,,
5,545,0.043,,,,,,
6,372,0.029,,,,,,
7,314,0.025,,,,,,
8,258,0.020,,,,,,
9,209,0.016,,,,,,
10,149,0.012,,,,,,
11,136,0.011,,,,,,
12,138,0.011,,,,,,
13,99,0.008,,,,,,
14,89,0.007,,,,,,
15,93,0.007,,,,,,
16,70,0.005,,,,,,
17,54,0.004,,,,,,
18,62,0.005,,,,,,
19,54,0.004,,,,,,
20,43,0.003,,,,,,
21,46,0.004,,,,,,
22,44,0.003,,,,,,
23,21,0.002,,,,,,
24,24,0.002,,,,,,
25,22,0.002,,,,,,
26,35,0.003,,,,,,
27,21,0.002,,,,,,
28,21,0.002,,,,,,
29,19,0.001,,,,,,
30,14,0.001,,,,,,
31,22,0.002,,,,,,
32,11,0.001,,,,,,
33,8,0.001,,,,,,
34,17,0.001,,,,,,
35,9,0.001,,,,,,
36,12,0.001,,,,,,
37,10,0.001,,,,,,
38,11,0.001,,,,,,
39,4,0.000,,,,,,
40,8,0.001,,,,,,
41,5,0.000,,,,,,
42,9,0.001,,,,,,
43,13,0.001,,,,,,
44,10,0.001,,,,,,
45,4,0.000,,,,,,
46,4,0.000,,,,,,
47,4,0.000,,,,,,
48,10,0.001,,,,,,
49,9,0.001,,,,,,
50,10,0.001,,,,,,
51,5,0.000,,,,,,
53,2,0.000,,,,,,
54,1,0.000,,,,,,
55,2,0.000,,,,,,
56,2,0.000,,,,,,
57,3,0.000,,,,,,
58,1,0.000,,,,,,
59,3,0.000,,,,,,
60,2,0.000,,,,,,
61,2,0.000,,,,,,
62,4,0.000,,,,,,
63,3,0.000,,,,,,
64,2,0.000,,,,,,
65,7,0.001,,,,,,
66,2,0.000,,,,,,
67,1,0.000,,,,,,
68,3,0.000,,,,,,
70,2,0.000,,,,,,
72,1,0.000,,,,,,
74,1,0.000,,,,,,
75,2,0.000,,,,,,
78,1,0.000,,,,,,
80,1,0.000,,,,,,
81,1,0.000,,,,,,
82,2,0.000,,,,,,
83,2,0.000,,,,,,
84,1,0.000,,,,,,
86,1,0.000,,,,,,
87,2,0.000,,,,,,
88,1,0.000,,,,,,
90,2,0.000,,,,,,
92,1,0.000,,,,,,
93,1,0.000,,,,,,
95,1,0.000,,,,,,
96,1,0.000,,,,,,
117,1,0.000,,,,,,
120,2,0.000,,,,,,
136,2,0.000,,,,,,
138,1,0.000,,,,,,
147,1,0.000,,,,,,
148,1,0.000,,,,,,
162,1,0.000,,,,,,
,,,,,,,,
total count,12791,,,,,,,
